City,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nha trang,12.25,109.1833,84.2,81,100,3.62,VN,2022-08-12
1,kapaa,22.0752,-159.319,73.72,91,40,11.5,US,2022-08-12
2,sitka,57.0531,-135.33,60.69,88,40,0.0,US,2022-08-12
3,punta arenas,-53.15,-70.9167,35.71,87,100,6.91,CL,2022-08-12
4,ponta do sol,32.6667,-17.1,79.0,61,19,5.37,PT,2022-08-12
5,bambous virieux,-20.3428,57.7575,68.25,83,75,11.5,MU,2022-08-12
6,matay,28.419,30.7792,99.55,16,0,11.99,EG,2022-08-12
7,ushuaia,-54.8,-68.3,37.06,52,0,5.75,AR,2022-08-12
8,lebu,-37.6167,-73.65,51.28,82,100,18.52,CL,2022-08-12
9,new norfolk,-42.7826,147.0587,47.71,84,85,1.66,AU,2022-08-12
10,esperance,-33.8667,121.9,49.75,74,4,15.73,AU,2022-08-12
11,bluff,-46.6,168.3333,44.8,76,83,12.44,NZ,2022-08-12
12,mahibadhoo,3.7833,72.9667,81.54,77,12,3.67,MV,2022-08-12
13,sisimiut,66.9395,-53.6735,47.68,68,77,5.66,GL,2022-08-12
14,geraldton,-28.7667,114.6,54.01,71,9,10.36,AU,2022-08-12
15,flinders,-34.5833,150.8552,56.37,84,100,4.0,AU,2022-08-12
16,palanga,55.9175,21.0686,77.02,47,0,4.61,LT,2022-08-12
17,caltanissetta,37.3745,14.0642,84.9,36,58,8.59,IT,2022-08-12
18,saldanha,-33.0117,17.9442,60.85,60,21,12.06,ZA,2022-08-12
19,hermanus,-34.4187,19.2345,59.81,61,26,15.26,ZA,2022-08-12
20,torbay,47.6666,-52.7314,64.27,90,100,8.05,CA,2022-08-12
21,mataura,-46.1927,168.8643,44.47,96,80,3.2,NZ,2022-08-12
22,puerto ayora,-0.7393,-90.3518,70.56,95,100,8.01,EC,2022-08-12
23,hithadhoo,-0.6,73.0833,82.96,76,100,13.0,MV,2022-08-12
24,oranjemund,-28.55,16.4333,61.09,64,57,11.77,NA,2022-08-12
25,ilulissat,69.2167,-51.1,42.82,81,75,4.61,GL,2022-08-12
26,saint-avold,49.1027,6.7006,88.79,25,0,12.33,FR,2022-08-12
27,husavik,66.0449,-17.3389,48.97,88,100,7.29,IS,2022-08-12
28,hobart,-42.8794,147.3294,48.06,93,75,2.3,AU,2022-08-12
29,urengoy,65.9667,78.3667,59.88,59,100,20.29,RU,2022-08-12
30,bima,-8.4667,118.7167,76.5,92,16,2.71,ID,2022-08-12
31,port alfred,-33.5906,26.891,61.18,82,99,5.99,ZA,2022-08-12
32,jamestown,42.097,-79.2353,67.17,60,0,3.44,US,2022-08-12
33,limon,10.0,-83.0333,76.05,94,100,2.3,CR,2022-08-12
34,busselton,-33.65,115.3333,59.85,66,100,18.39,AU,2022-08-12
35,russkaya polyana,49.417,31.9201,75.15,56,100,10.0,UA,2022-08-12
36,quatre cocos,-20.2078,57.7625,68.11,71,51,19.53,MU,2022-08-12
37,albany,42.6001,-73.9662,69.26,65,34,7.92,US,2022-08-12
38,souillac,-20.5167,57.5167,68.38,83,75,11.5,MU,2022-08-12
39,avarua,-21.2078,-159.775,75.25,88,20,6.91,CK,2022-08-12
40,camacha,33.0833,-16.3333,74.62,61,40,10.36,PT,2022-08-12
41,campagna,40.6653,15.1059,77.0,74,75,8.05,IT,2022-08-12
42,nanortalik,60.1432,-45.2371,45.18,86,100,3.2,GL,2022-08-12
43,hilo,19.7297,-155.09,83.28,91,100,8.99,US,2022-08-12
44,grindavik,63.8424,-22.4338,54.07,71,75,14.97,IS,2022-08-12
45,general roca,-39.0333,-67.5833,52.63,41,83,19.66,AR,2022-08-12
46,kodiak,57.79,-152.4072,53.11,94,100,5.75,US,2022-08-12
47,kushmurun,52.4503,64.6311,73.2,39,69,11.92,KZ,2022-08-12
48,sinnamary,5.3833,-52.95,85.12,63,0,6.33,GF,2022-08-12
49,atuona,-9.8,-139.0333,76.41,66,98,22.75,PF,2022-08-12
50,samarai,-10.6167,150.6667,78.37,86,100,11.81,PG,2022-08-12
51,cape town,-33.9258,18.4232,62.11,55,75,10.36,ZA,2022-08-12
52,tanout,14.9709,8.8879,93.38,32,65,15.43,NE,2022-08-12
53,mareeba,-17.0,145.4333,65.12,91,19,2.48,AU,2022-08-12
54,kintinku,-5.8833,35.2333,86.52,23,33,7.36,TZ,2022-08-12
55,rikitea,-23.1203,-134.9692,72.95,73,100,21.32,PF,2022-08-12
56,nayoro,44.3506,142.4578,64.26,96,12,2.26,JP,2022-08-12
57,castro,-24.7911,-50.0119,58.41,63,7,10.89,BR,2022-08-12
58,port elizabeth,-33.918,25.5701,61.09,72,20,28.01,ZA,2022-08-12
59,chicama,-7.8447,-79.1469,57.74,74,51,5.37,PE,2022-08-12
60,vestmannaeyjar,63.4427,-20.2734,54.59,76,0,12.66,IS,2022-08-12
61,ouidah,6.3631,2.0851,78.66,76,100,16.49,BJ,2022-08-12
62,bilma,18.6853,12.9164,106.11,12,57,8.97,NE,2022-08-12
63,barrow,71.2906,-156.7887,51.82,87,100,17.27,US,2022-08-12
64,saint george,37.1041,-113.5841,77.95,61,0,4.61,US,2022-08-12
65,valparaiso,-33.0393,-71.6273,52.48,93,40,3.44,CL,2022-08-12
66,arraial do cabo,-22.9661,-42.0278,69.76,73,40,9.22,BR,2022-08-12
67,saint-philippe,-21.3585,55.7679,71.22,79,49,15.03,RE,2022-08-12
68,prince rupert,54.3161,-130.3201,57.29,96,100,8.05,CA,2022-08-12
69,grand gaube,-20.0064,57.6608,68.4,77,2,5.99,MU,2022-08-12
70,sao felix do xingu,-6.6447,-51.995,94.05,31,4,3.2,BR,2022-08-12
71,airai,-8.9266,125.4092,58.37,91,16,2.93,TL,2022-08-12
72,quelimane,-17.8786,36.8883,80.55,69,40,10.36,MZ,2022-08-12
73,butaritari,3.0707,172.7902,81.32,80,54,16.28,KI,2022-08-12
74,dikson,73.5069,80.5464,49.21,86,100,32.86,RU,2022-08-12
75,yellowknife,62.456,-114.3525,54.12,82,20,4.61,CA,2022-08-12
76,bontang,0.1333,117.5,81.79,81,30,4.74,ID,2022-08-12
77,rio gallegos,-51.6226,-69.2181,35.65,100,100,2.3,AR,2022-08-12
78,gilgit,35.9221,74.3087,86.58,48,61,5.21,PK,2022-08-12
79,victoria,22.2855,114.1577,81.32,89,76,5.01,HK,2022-08-12
80,mangan,27.5167,88.5333,79.65,97,100,0.4,IN,2022-08-12
81,bredasdorp,-34.5322,20.0403,58.35,57,69,13.24,ZA,2022-08-12
82,lavrentiya,65.5833,-171.0,45.19,94,70,9.04,RU,2022-08-12
83,diego de almagro,-26.3667,-70.05,60.51,40,74,0.89,CL,2022-08-12
84,ouadda,8.0777,22.4007,72.14,95,100,5.86,CF,2022-08-12
85,sao filipe,14.8961,-24.4956,78.89,74,2,15.82,CV,2022-08-12
86,broome,42.2506,-75.833,69.53,62,0,10.36,US,2022-08-12
87,mon,26.75,95.1,75.34,99,100,2.51,IN,2022-08-12
88,khryashchevka,53.8119,49.0916,74.35,51,7,5.06,RU,2022-08-12
89,saint-joseph,-21.3667,55.6167,70.21,76,63,14.14,RE,2022-08-12
90,phan thiet,10.9333,108.1,79.07,84,56,8.55,VN,2022-08-12
91,biak,-0.9131,122.8766,76.35,90,21,1.39,ID,2022-08-12
92,kibaya,-5.3,36.5667,70.3,40,72,9.1,TZ,2022-08-12
93,vaini,-21.2,-175.2,68.16,83,20,8.05,TO,2022-08-12
94,dunedin,-45.8742,170.5036,45.81,69,97,8.99,NZ,2022-08-12
95,bathsheba,13.2167,-59.5167,86.61,70,40,20.71,BB,2022-08-12
96,chokurdakh,70.6333,147.9167,37.65,76,99,8.41,RU,2022-08-12
97,port lincoln,-34.7333,135.8667,51.21,71,25,17.02,AU,2022-08-12
98,bonavista,48.6499,-53.1147,60.78,85,99,8.12,CA,2022-08-12
99,longyearbyen,78.2186,15.6401,48.04,71,0,3.44,SJ,2022-08-12
100,porto novo,6.4965,2.6036,78.62,66,100,14.54,BJ,2022-08-12
101,lompoc,34.6391,-120.4579,58.51,96,100,5.75,US,2022-08-12
102,berlevag,70.8578,29.0864,51.8,76,100,28.77,NO,2022-08-12
103,qasigiannguit,68.8193,-51.1922,43.05,81,92,3.58,GL,2022-08-12
104,panguna,-6.3164,155.4848,67.46,97,100,1.36,PG,2022-08-12
105,faya,18.3851,42.4509,84.31,67,99,8.93,SA,2022-08-12
106,bengkulu,-3.8004,102.2655,76.93,88,49,3.71,ID,2022-08-12
107,qaanaaq,77.484,-69.3632,37.62,95,100,19.04,GL,2022-08-12
108,seoul,37.5683,126.9778,78.4,83,0,2.3,KR,2022-08-12
109,evans,33.5337,-82.1307,77.04,79,100,3.44,US,2022-08-12
110,leningradskiy,69.3833,178.4167,34.34,96,100,14.74,RU,2022-08-12
111,isangel,-19.55,169.2667,71.13,62,17,16.02,VU,2022-08-12
112,merauke,-8.4667,140.3333,75.96,85,91,14.18,ID,2022-08-12
113,sistranda,63.7256,8.834,58.96,77,66,4.21,NO,2022-08-12
114,oga,46.4631,10.347,72.28,50,98,3.42,IT,2022-08-12
115,thompson,55.7435,-97.8558,55.56,100,100,13.8,CA,2022-08-12
116,aklavik,68.2191,-135.0107,51.53,73,0,5.17,CA,2022-08-12
117,carnarvon,-24.8667,113.6333,68.41,69,26,11.86,AU,2022-08-12
118,alofi,-19.0595,-169.9187,73.29,88,30,5.75,NU,2022-08-12
119,evensk,61.95,159.2333,52.83,96,100,1.83,RU,2022-08-12
120,pacific grove,36.6177,-121.9166,59.11,90,0,10.0,US,2022-08-12
121,chuy,-33.6971,-53.4616,59.0,81,30,8.57,UY,2022-08-12
122,nikolskoye,59.7035,30.7861,78.87,44,7,7.43,RU,2022-08-12
123,zhireken,52.8249,117.3076,53.17,93,94,1.95,RU,2022-08-12
124,provideniya,64.3833,-173.3,48.61,98,100,7.16,RU,2022-08-12
125,fredericksburg,38.3032,-77.4605,76.57,73,100,9.22,US,2022-08-12
126,sokolo,14.7328,-6.1219,79.52,62,100,5.55,ML,2022-08-12
127,sirsaganj,27.05,78.7,88.54,62,98,8.41,IN,2022-08-12
128,mackay,-21.15,149.2,61.68,88,76,3.53,AU,2022-08-12
129,tiksi,71.6872,128.8694,39.76,88,100,4.79,RU,2022-08-12
130,vila velha,-20.3297,-40.2925,76.95,66,20,15.01,BR,2022-08-12
131,beyla,8.6833,-8.6333,76.24,83,100,5.77,GN,2022-08-12
132,mingguang,32.7802,117.9638,85.64,63,1,6.82,CN,2022-08-12
133,fortuna,40.5982,-124.1573,58.93,93,100,5.75,US,2022-08-12
134,lewistown,40.5992,-77.5714,74.16,79,0,11.5,US,2022-08-12
135,narasannapeta,18.4167,84.05,83.57,78,100,1.74,IN,2022-08-12
136,flin flon,54.7682,-101.865,62.44,88,100,4.61,CA,2022-08-12
137,mlyniv,50.509,25.6168,66.92,93,100,1.25,UA,2022-08-12
138,mar del plata,-38.0023,-57.5575,58.08,79,0,9.22,AR,2022-08-12
139,tuktoyaktuk,69.4541,-133.0374,48.2,93,75,4.61,CA,2022-08-12
140,mabay,6.0577,124.4666,78.96,87,100,3.36,PH,2022-08-12
141,khash,28.2211,61.2158,87.89,10,100,15.01,IR,2022-08-12
142,cacule,-14.5033,-42.2222,82.51,42,47,11.07,BR,2022-08-12
143,kaitangata,-46.2817,169.8464,40.82,88,68,8.59,NZ,2022-08-12
144,nouakchott,18.0858,-15.9785,89.53,73,15,12.88,MR,2022-08-12
145,cherskiy,68.75,161.3,36.1,94,47,14.65,RU,2022-08-12
146,deputatskiy,69.3,139.9,43.36,88,100,3.83,RU,2022-08-12
147,sokoni,-6.4333,39.55,82.26,73,20,17.47,TZ,2022-08-12
148,vigeland,58.0844,7.305,80.42,74,0,11.54,NO,2022-08-12
149,chimbote,-9.0853,-78.5783,63.34,79,61,6.78,PE,2022-08-12
150,bandarbeyla,9.4942,50.8122,83.64,58,61,31.16,SO,2022-08-12
151,kananga,-5.8958,22.4178,95.49,11,100,1.43,CD,2022-08-12
152,fergus falls,46.283,-96.0776,65.46,94,0,18.41,US,2022-08-12
153,san rafael,-34.6177,-68.3301,56.75,25,0,4.9,AR,2022-08-12
154,cabo san lucas,22.8909,-109.9124,84.51,66,80,4.79,MX,2022-08-12
155,touros,-5.1989,-35.4608,83.98,64,5,14.85,BR,2022-08-12
156,port macquarie,-31.4333,152.9167,52.9,90,100,6.53,AU,2022-08-12
157,nome,64.5011,-165.4064,48.27,93,100,0.0,US,2022-08-12
158,narsaq,60.9167,-46.05,53.82,60,100,3.31,GL,2022-08-12
159,durg,21.1833,81.2833,84.38,84,100,9.57,IN,2022-08-12
160,katsuura,35.1333,140.3,81.1,86,100,20.2,JP,2022-08-12
161,georgetown,5.4112,100.3354,85.98,74,20,0.0,MY,2022-08-12
162,sao joao da barra,-21.6403,-41.0511,71.69,58,40,12.62,BR,2022-08-12
163,goderich,43.7501,-81.7165,64.72,77,0,3.44,CA,2022-08-12
164,saskylakh,71.9167,114.0833,47.57,58,100,3.22,RU,2022-08-12
165,jumla,29.2747,82.1838,65.28,93,85,2.57,NP,2022-08-12
166,cooma,-36.2333,149.1333,39.74,93,100,0.49,AU,2022-08-12
167,tsabong,-26.0217,22.401,78.49,11,0,13.0,BW,2022-08-12
168,kibala,9.1104,18.3463,78.75,83,40,9.22,TD,2022-08-12
169,atmakur,15.8833,78.5833,80.74,72,98,4.94,IN,2022-08-12
